"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1994-10",100.821991229053,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1994-11",101.304966570111,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1994-12",101.739007503902,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1995-01",101.970002490468,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1995-02",102.045742474132,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1995-03",102.017538750068,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1995-04",101.897095833769,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1995-05",101.71732803825,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1995-06",101.489738124666,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1995-07",101.221120832165,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1995-08",100.978088525791,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1995-09",100.862172810778,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1995-10",100.95934116071,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1995-11",101.162396954318,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1995-12",101.334713950625,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1996-01",101.368083320425,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1996-02",101.271299475044,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1996-03",101.038952137139,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1996-04",100.650371626679,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1996-05",100.204137639441,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1996-06",99.8174669604478,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1996-07",99.5832546541894,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1996-08",99.4675519465901,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1996-09",99.4459399718645,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1996-10",99.5213939207118,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1996-11",99.6480564556379,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1996-12",99.7862351746462,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1997-01",99.9061914888514,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1997-02",99.9804133160097,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1997-03",99.9614973257186,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1997-04",99.8057656716618,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1997-05",99.590020541306,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1997-06",99.4063729848782,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1997-07",99.3170852206444,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1997-08",99.2773153662586,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1997-09",99.2244052029968,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1997-10",99.1176500301427,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1997-11",98.9912088282497,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1997-12",98.8977951663209,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1998-01",98.8720541380286,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1998-02",98.860911757969,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1998-03",98.7819288430891,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1998-04",98.5670562458815,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1998-05",98.2742306223987,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1998-06",97.9761184981132,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1998-07",97.7268133600524,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1998-08",97.5338192497366,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1998-09",97.4116787824311,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1998-10",97.3792901386535,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1998-11",97.3863704126702,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1998-12",97.3784571094094,
