Time,Balance,Product,Value,Unit
April 2021,Net Electricity Production,Combustible Renewables,523.5831,GWh
April 2021,Net Electricity Production,Other Combustible Non-Renewables,175.4064,GWh
April 2021,Net Electricity Production,Hydro,4080.1915,GWh
April 2021,Net Electricity Production,Wind,2943.1684,GWh
April 2021,Net Electricity Production,Solar,1686.19,GWh
April 2021,Net Electricity Production,Geothermal,7.5307,GWh
April 2021,Net Electricity Production,Other Renewables,39.8221,GWh
April 2021,Net Electricity Production,Not Specified,43.6602,GWh
April 2021,Net Electricity Production,"Total Renewables (Geo, Solar, Wind, Other)",9280.4858,GWh
April 2021,Total Imports,Electricity,2879.9034,GWh
April 2021,Total Exports,Electricity,4270.6076,GWh
April 2021,Used for pumped storage,Electricity,416.1407,GWh
April 2021,Distribution Losses,Electricity,2824.8799,GWh
April 2021,Final Consumption (Calculated),Electricity,35504.0466,GWh
March 2021,Net Electricity Production,Electricity,48542.0433,GWh
March 2021,Net Electricity Production,Nuclear,31695.35,GWh
